X0,Y0,Z0,treatments,days
30.57,28.57,16.80,Blank,0
31.53,30.84,16.14,Blank,0
31.57,30.95,18.28,Blank,0
31.81,31.15,18.05,Blank,0
31.89,31.10,17.92,Blank,0
32.74,31.92,18.42,Blank,0
33.30,32.52,18.57,Blank,0
33.34,32.88,19.71,Blank,0
33.38,32.70,18.76,Blank,0
33.60,32.90,17.99,Blank,0
33.95,32.18,16.24,Blank,0
33.95,33.39,19.97,Blank,0
33.98,33.42,20.03,Blank,0
34.28,33.71,20.47,Blank,0
34.34,33.75,18.39,Blank,0
34.55,32.96,17.04,Blank,0
34.58,34.03,20.76,Blank,0
34.75,34.18,21.29,Blank,0
34.90,34.32,20.36,Blank,0
35.02,34.03,19.16,Blank,0
35.17,34.23,19.74,Blank,0
35.23,34.78,21.08,Blank,0
35.75,34.84,20.58,Blank,0
35.75,35.20,21.75,Blank,0
35.87,35.37,18.14,Blank,0
36.10,35.73,18.24,Blank,0
36.27,35.68,20.03,Blank,0
36.54,36.03,21.59,Blank,0
36.78,35.67,20.89,Blank,0
36.89,36.79,19.19,Blank,0
36.90,36.22,20.51,Blank,0
36.92,36.56,19.52,Blank,0
37.14,36.70,20.82,Blank,0
37.23,36.52,20.29,Blank,0
37.23,38.21,18.22,Blank,0
37.45,36.87,22.38,Blank,0
37.51,36.80,22.28,Blank,0
37.54,36.67,21.18,Blank,0
37.62,37.28,19.74,Blank,0
37.64,36.71,21.57,Blank,0
37.69,37.29,22.82,Blank,0
37.80,36.17,18.75,Blank,0
37.80,37.53,23.48,Blank,0
37.87,38.28,19.95,Blank,0
37.88,38.39,19.83,Blank,0
37.93,37.81,23.67,Blank,0
38.00,38.53,20.41,Blank,0
38.10,37.50,23.13,Blank,0
38.33,36.78,19.57,Blank,0
38.38,37.73,23.23,Blank,0
38.48,37.95,23.38,Blank,0
38.55,37.88,22.90,Blank,0
38.72,38.30,23.60,Blank,0
38.75,38.22,22.56,Blank,0
38.75,38.44,24.37,Blank,0
39.01,38.78,24.53,Blank,0
39.43,38.66,22.94,Blank,0
39.45,39.32,24.80,Blank,0
39.47,39.01,23.48,Blank,0
39.49,39.03,23.52,Blank,0
39.62,40.11,20.81,Blank,0
40.01,39.83,25.35,Blank,0
40.04,39.93,21.00,Blank,0
40.09,39.29,22.54,Blank,0
40.11,40.68,21.11,Blank,0
40.22,40.50,27.81,Blank,0
40.22,40.01,25.56,Blank,0
40.30,39.99,24.90,Blank,0
40.45,40.72,27.95,Blank,0
40.58,40.07,23.63,Blank,0
40.60,40.03,22.48,Blank,0
40.84,40.67,26.05,Blank,0
41.08,40.82,25.24,Blank,0
41.10,41.54,22.17,Blank,0
41.17,40.78,25.72,Blank,0
41.19,40.80,24.65,Blank,0
41.26,40.61,23.62,Blank,0
41.42,41.10,25.24,Blank,0
41.50,41.26,26.43,Blank,0
41.62,41.87,22.65,Blank,0
41.64,40.99,23.79,Blank,0
41.98,42.27,29.03,Blank,0
42.00,41.32,24.20,Blank,0
42.01,41.47,25.53,Blank,0
42.08,42.35,29.18,Blank,0
42.23,42.09,27.29,Blank,0
42.28,41.67,25.03,Blank,0
42.34,42.48,28.32,Blank,0
42.61,42.29,27.10,Blank,0
42.61,43.05,23.68,Blank,0
42.72,43.57,23.63,Blank,0
42.75,43.33,24.21,Blank,0
42.82,43.18,23.69,Blank,0
42.88,42.69,27.05,Blank,0
42.91,42.51,25.20,Blank,0
42.92,42.50,24.46,Blank,0
43.01,42.95,27.35,Blank,0
43.29,43.05,26.60,Blank,0
43.33,43.59,29.61,Blank,0
43.35,43.54,29.07,Blank,0
43.36,43.29,28.10,Blank,0
43.38,43.64,29.13,Blank,0
43.58,44.08,24.17,Blank,0
43.80,44.09,29.31,Blank,0
43.89,44.16,29.38,Blank,0
43.98,44.19,29.71,Blank,0
44.20,43.84,27.35,Blank,0
44.21,43.84,27.78,Blank,0
44.35,44.18,27.35,Blank,0
44.51,44.92,30.86,Blank,0
44.54,44.26,28.11,Blank,0
44.63,44.45,28.46,Blank,0
44.73,44.16,28.09,Blank,0
44.92,45.26,30.66,Blank,0
44.97,46.08,25.78,Blank,0
45.09,45.75,25.28,Blank,0
45.18,45.66,31.90,Blank,0
45.18,46.64,24.92,Blank,0
45.20,45.17,27.94,Blank,0
45.31,46.97,24.45,Blank,0
45.70,45.59,28.06,Blank,0
45.91,47.27,25.24,Blank,0
46.06,46.02,30.22,Blank,0
46.36,46.67,31.09,Blank,0
46.46,46.40,29.46,Blank,0
46.66,46.59,29.43,Blank,0
46.87,48.11,26.89,Blank,0
47.03,47.26,31.36,Blank,0
47.16,48.12,26.17,Blank,0
47.25,47.38,30.24,Blank,0
47.36,47.94,33.91,Blank,0
47.61,47.78,30.78,Blank,0
47.85,48.74,28.59,Blank,0
48.42,49.57,27.81,Blank,0
48.56,48.97,27.75,Blank,0
48.64,49.06,31.51,Blank,0
50.62,52.19,30.55,Blank,0
51.77,52.65,35.52,Blank,0
52.66,53.38,36.97,Blank,0
53.85,54.89,37.69,Blank,0
38.61,38.33,19.99,Blank,1
40.94,40.81,21.55,Blank,1
40.48,40.56,22.51,Blank,1
32.09,31.37,15.32,Blank,1
37.67,37.32,19.17,Blank,1
39.33,39.17,20.33,Blank,1
44.34,44.61,24.04,Blank,1
41.70,41.80,22.21,Blank,1
41.09,41.04,21.23,Blank,1
39.22,39.07,20.33,Blank,1
38.62,38.77,21.72,Blank,1
39.99,40.31,22.70,Blank,1
38.62,38.88,21.46,Blank,1
37.64,37.86,21.16,Blank,1
39.34,39.56,21.90,Blank,1
34.75,34.78,19.94,Blank,1
36.99,37.07,20.85,Blank,1
37.35,37.20,19.77,Blank,1
36.36,36.18,20.04,Blank,1
35.12,35.21,20.24,Blank,1
38.95,38.45,18.88,Blank,2
38.47,37.93,18.79,Blank,2
39.56,39.34,20.38,Blank,2
37.24,36.65,17.68,Blank,2
37.27,36.76,18.25,Blank,2
42.87,42.47,21.00,Blank,2
38.48,38.04,19.23,Blank,2
38.57,38.13,18.87,Blank,2
42.21,41.84,20.13,Blank,2
38.95,38.53,18.79,Blank,2
37.83,37.82,20.33,Blank,2
37.93,37.84,19.76,Blank,2
36.19,36.05,18.68,Blank,2
37.84,37.79,19.65,Blank,2
36.05,35.80,18.10,Blank,2
35.40,34.96,17.78,Blank,2
