glossy,treatments,orientation,days
5.1,Blank,parallel,0
3.9,Blank,parallel,0
3.9,Blank,parallel,0
5.4,Blank,parallel,0
4.7,Blank,parallel,0
4.6,Blank,parallel,0
2.8,Blank,parallel,0
2.6,Blank,parallel,0
2.8,Blank,parallel,0
3,Blank,parallel,0
3.4,Blank,parallel,0
3.7,Blank,parallel,0
5.1,Blank,parallel,0
5.2,Blank,parallel,0
5,Blank,parallel,0
3.1,Blank,parallel,0
3.5,Blank,parallel,0
3.4,Blank,parallel,0
3.9,Blank,parallel,0
4,Blank,parallel,0
5.2,Blank,parallel,0
4.3,Blank,parallel,0
4.4,Blank,parallel,0
4.8,Blank,parallel,0
2.8,Blank,parallel,0
3.1,Blank,parallel,0
3.3,Blank,parallel,0
6,Blank,parallel,0
6.7,Blank,parallel,0
7,Blank,parallel,0
6,Blank,parallel,0
5.4,Blank,parallel,0
6,Blank,parallel,0
2.8,Blank,parallel,0
2.9,Blank,parallel,0
2.5,Blank,parallel,0
3,Blank,parallel,0
2.9,Blank,parallel,0
2.7,Blank,parallel,0
4.8,Blank,parallel,0
4.6,Blank,parallel,0
5.4,Blank,parallel,0
3,Blank,parallel,0
3.1,Blank,parallel,0
2.9,Blank,parallel,0
3.1,Blank,parallel,0
3.1,Blank,parallel,0
3,Blank,parallel,0
4.7,Blank,parallel,0
4,Blank,parallel,0
4,Blank,parallel,0
3.1,Blank,parallel,0
2.9,Blank,parallel,0
3,Blank,parallel,0
4.3,Blank,parallel,0
3.5,Blank,parallel,0
4.3,Blank,parallel,0
4.8,Blank,parallel,0
4.3,Blank,parallel,0
4.9,Blank,parallel,0
4.1,Blank,parallel,0
4.2,Blank,parallel,0
4.4,Blank,parallel,0
4.8,Blank,parallel,0
5.6,Blank,parallel,0
3.9,Blank,parallel,0
3.4,Blank,parallel,0
3.7,Blank,parallel,0
3.8,Blank,parallel,0
4.3,Blank,parallel,0
3.8,Blank,parallel,0
3.6,Blank,parallel,0
2.3,Blank,parallel,0
2.7,Blank,parallel,0
2.3,Blank,parallel,0
3.6,Blank,parallel,0
3.5,Blank,parallel,0
3.4,Blank,parallel,0
3.9,Blank,parallel,0
4,Blank,parallel,0
3.9,Blank,parallel,0
4.7,Blank,parallel,0
5.7,Blank,parallel,0
4,Blank,parallel,0
5.0,Blank,parallel,1
3.6,Blank,parallel,1
3.5,Blank,parallel,1
4.7,Blank,parallel,1
4.3,Blank,parallel,1
4.3,Blank,parallel,1
3.9,Blank,parallel,1
4.0,Blank,parallel,1
4.4,Blank,parallel,1
3.8,Blank,parallel,1
4.7,Blank,parallel,1
4.3,Blank,parallel,1
3.9,Blank,parallel,2
4.0,Blank,parallel,2
4.9,Blank,parallel,2
5.9,Blank,parallel,2
5.4,Blank,parallel,2
4.6,Blank,parallel,2
4.3,Blank,parallel,2
4.2,Blank,parallel,2
3.9,Blank,parallel,2
4.1,Blank,parallel,2
5.7,Blank,parallel,2
5.1,Blank,parallel,2
4.1,Blank,parallel,4
4.1,Blank,parallel,4
4.9,Blank,parallel,4
5.2,Blank,parallel,4
4.7,Blank,parallel,4
4.9,Blank,parallel,4
4.2,Blank,parallel,4
4.6,Blank,parallel,4
4.4,Blank,parallel,4
3.9,Blank,parallel,4
5.3,Blank,parallel,4
4.5,Blank,parallel,4
3.4,Blank,perpendicular,0
3.2,Blank,perpendicular,0
3.3,Blank,perpendicular,0
3.7,Blank,perpendicular,0
3.5,Blank,perpendicular,0
4,Blank,perpendicular,0
1.8,Blank,perpendicular,0
2.1,Blank,perpendicular,0
2.1,Blank,perpendicular,0
2.5,Blank,perpendicular,0
2.5,Blank,perpendicular,0
2.6,Blank,perpendicular,0
3.8,Blank,perpendicular,0
4,Blank,perpendicular,0
4,Blank,perpendicular,0
2.6,Blank,perpendicular,0
2.5,Blank,perpendicular,0
2.5,Blank,perpendicular,0
3.1,Blank,perpendicular,0
3.3,Blank,perpendicular,0
3.3,Blank,perpendicular,0
3.5,Blank,perpendicular,0
3.6,Blank,perpendicular,0
3.7,Blank,perpendicular,0
2.3,Blank,perpendicular,0
2.4,Blank,perpendicular,0
2.4,Blank,perpendicular,0
4.8,Blank,perpendicular,0
4.7,Blank,perpendicular,0
4.2,Blank,perpendicular,0
3.7,Blank,perpendicular,0
3.9,Blank,perpendicular,0
3.9,Blank,perpendicular,0
2.4,Blank,perpendicular,0
2.5,Blank,perpendicular,0
2.1,Blank,perpendicular,0
2.3,Blank,perpendicular,0
2.2,Blank,perpendicular,0
2.1,Blank,perpendicular,0
3.5,Blank,perpendicular,0
3.5,Blank,perpendicular,0
3.7,Blank,perpendicular,0
2.4,Blank,perpendicular,0
2.5,Blank,perpendicular,0
2.4,Blank,perpendicular,0
2.8,Blank,perpendicular,0
2.6,Blank,perpendicular,0
2.5,Blank,perpendicular,0
2.8,Blank,perpendicular,0
3.1,Blank,perpendicular,0
3.3,Blank,perpendicular,0
2.3,Blank,perpendicular,0
2.3,Blank,perpendicular,0
2.3,Blank,perpendicular,0
3.4,Blank,perpendicular,0
3.5,Blank,perpendicular,0
3.3,Blank,perpendicular,0
3.8,Blank,perpendicular,0
4.8,Blank,perpendicular,0
4.4,Blank,perpendicular,0
2.8,Blank,perpendicular,0
3,Blank,perpendicular,0
2.8,Blank,perpendicular,0
3.9,Blank,perpendicular,0
4,Blank,perpendicular,0
3.6,Blank,perpendicular,0
2.6,Blank,perpendicular,0
2.6,Blank,perpendicular,0
2.6,Blank,perpendicular,0
3.1,Blank,perpendicular,0
3.2,Blank,perpendicular,0
3.2,Blank,perpendicular,0
1.9,Blank,perpendicular,0
1.9,Blank,perpendicular,0
1.9,Blank,perpendicular,0
2.3,Blank,perpendicular,0
2.5,Blank,perpendicular,0
2.4,Blank,perpendicular,0
3.5,Blank,perpendicular,0
3.4,Blank,perpendicular,0
3.1,Blank,perpendicular,0
4,Blank,perpendicular,0
4.2,Blank,perpendicular,0
4,Blank,perpendicular,0
3.4,Blank,perpendicular,1
3.0,Blank,perpendicular,1
3.2,Blank,perpendicular,1
3.6,Blank,perpendicular,1
3.4,Blank,perpendicular,1
3.3,Blank,perpendicular,1
2.7,Blank,perpendicular,1
2.8,Blank,perpendicular,1
2.6,Blank,perpendicular,1
3.6,Blank,perpendicular,1
3.7,Blank,perpendicular,1
3.6,Blank,perpendicular,1
3.0,Blank,perpendicular,2
4.0,Blank,perpendicular,2
3.9,Blank,perpendicular,2
4.2,Blank,perpendicular,2
3.8,Blank,perpendicular,2
3.7,Blank,perpendicular,2
2.8,Blank,perpendicular,2
2.9,Blank,perpendicular,2
2.8,Blank,perpendicular,2
3.9,Blank,perpendicular,2
3.8,Blank,perpendicular,2
4.1,Blank,perpendicular,2
3.4,Blank,perpendicular,4
3.2,Blank,perpendicular,4
3.5,Blank,perpendicular,4
3.4,Blank,perpendicular,4
3.6,Blank,perpendicular,4
3.7,Blank,perpendicular,4
3.3,Blank,perpendicular,4
3.3,Blank,perpendicular,4
3.0,Blank,perpendicular,4
3.5,Blank,perpendicular,4
3.7,Blank,perpendicular,4
3.9,Blank,perpendicular,4
2.6,T1130,parallel,0
2.5,T1130,parallel,0
2.7,T1130,parallel,0
2.5,T1130,parallel,0
2.9,T1130,parallel,0
2.9,T1130,parallel,0
2.7,T1130,parallel,1
2.5,T1130,parallel,1
2.7,T1130,parallel,1
2.5,T1130,parallel,1
2.5,T1130,parallel,1
2.9,T1130,parallel,1
2.5,T1130,parallel,2
2.1,T1130,parallel,2
2.8,T1130,parallel,2
3.0,T1130,parallel,2
2.9,T1130,parallel,2
2.7,T1130,parallel,2
2.6,T1130,parallel,4
2.5,T1130,parallel,4
2.9,T1130,parallel,4
3.4,T1130,parallel,4
3.2,T1130,parallel,4
2.8,T1130,parallel,4
2.2,T1130,perpendicular,0
2,T1130,perpendicular,0
1.8,T1130,perpendicular,0
2,T1130,perpendicular,0
2.1,T1130,perpendicular,0
2.1,T1130,perpendicular,0
1.8,T1130,perpendicular,1
2.1,T1130,perpendicular,1
2.0,T1130,perpendicular,1
1.7,T1130,perpendicular,1
1.5,T1130,perpendicular,1
1.7,T1130,perpendicular,1
2.2,T1130,perpendicular,2
2.2,T1130,perpendicular,2
2.1,T1130,perpendicular,2
2.0,T1130,perpendicular,2
1.9,T1130,perpendicular,2
1.7,T1130,perpendicular,2
1.9,T1130,perpendicular,4
2.1,T1130,perpendicular,4
2.3,T1130,perpendicular,4
2.0,T1130,perpendicular,4
2.0,T1130,perpendicular,4
1.8,T1130,perpendicular,4
3.4,Quercetin,parallel,0
3.8,Quercetin,parallel,0
3.1,Quercetin,parallel,0
2.6,Quercetin,parallel,0
2.5,Quercetin,parallel,0
2.1,Quercetin,parallel,0
3.0,Quercetin,parallel,1
2.9,Quercetin,parallel,1
2.9,Quercetin,parallel,1
1.7,Quercetin,parallel,1
2.2,Quercetin,parallel,1
1.9,Quercetin,parallel,1
3.5,Quercetin,parallel,2
3.4,Quercetin,parallel,2
3.4,Quercetin,parallel,2
2.4,Quercetin,parallel,2
2.6,Quercetin,parallel,2
3.3,Quercetin,parallel,2
3.4,Quercetin,parallel,4
3.4,Quercetin,parallel,4
3.4,Quercetin,parallel,4
2.1,Quercetin,parallel,4
